Item Code,Item Name,Category Code,Category Name,LENGTH
1.029E+14,Niushou Shengcai,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Sichuan Red Cedar,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Local Xiaomao Cabbage,1011010101,Flower/Leaf Vegetables,10
1.029E+14,White Caitai,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Amaranth,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Yunnan Shengcai,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Zhuyecai,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Chinese Cabbage,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Nanguajian,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Shanghaiqing,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Radish Leaves,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Niushou Youcai,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Garden Chrysanthemum,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Caidian Quinoa Artemisia,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Caixin,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Muercai,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Chinese Cabbage,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Wandoujian,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Yunnan Lettuces,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Machixian,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Local Spinach,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Yellow Xincai ,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Black Rapeseed,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Local Shanghaiqing,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Spinach,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Wawacai,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Hongshujian,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Zhijiang Red Bolt,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Huanghuacai,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Kuaicai,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Suizhou Bubble Green,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Panax Notoginseng,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Dongmenkou Xiaobaicai,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Foreign Garland Chrysanthemum ,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Ice Grass,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Perilla,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Mint,1011010101,Flower/Leaf Vegetables,10
1.029E+14,The Dandelion,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Siguajian,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Naibaicai,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Mustard,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Big Broccoli,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Miantiaocai,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Sweet Chinese Cabbage,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Jicai,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Malan Head,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Ganlanye,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Hongshan Caitai,1011010101,Flower/Leaf Vegetables,10
1.029E+14,The Local Yellow Youcai,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Green Caitai,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Xiaoqingcai ,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Fresh Rice Dumplings Leaves,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Aihao,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Naibai Caimiao,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Juhua Youcai,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Shuanggou Cabbage,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Zhijiang Red Bolt ,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Yunnan Lettuce ,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Yunnan Leaf Lettuce ,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Garden Chrysanthemum ,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Spinach ,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Caixin ,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Shanghai Green ,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Xiaoqingcai ,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Hongshan Shoutidai,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Hongshan Gift Box,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Yuxingcao ,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Ice Grass ,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Basil ,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Xiangtianhongcaitai ,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Artemisia Stelleriana,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Yuxingcao ,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Zhuyecai ,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Chuncai,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Sophora Japonica,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Hongshujian ,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Caidian Quinoa Artemisia ,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Red Coral ,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Red Oak Leaf,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Green Butter,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Powcan Mountain Chinese Cabbage ,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Huangxincai ,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Amaranth ,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Chinese Cabbage ,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Xiaoqingcai ,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Cabbage Stem ,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Zhimaxiancai,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Xianzongye,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Xianzongye  ,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Foreign Garland Chrysanthemum  ,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Longyacai,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Yellow Baicai ,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Chinese Cabbage Seedling,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Muercai ,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Broccoli,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Youcaitai,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Huangbaicai ,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Purple Beicai,1011010101,Flower/Leaf Vegetables,10
1.06972E+14,Xianzongye  ,1011010101,Flower/Leaf Vegetables,10
1.06973E+14,Xianzongye  ,1011010101,Flower/Leaf Vegetables,10
1.029E+14,Broccoli,1011010201,Cabbage,10
1.029E+14,Purple Cabbage ,1011010201,Cabbage,10
1.029E+14,Qinggengsanhua,1011010201,Cabbage,10
1.029E+14,Purple Cabbage ,1011010201,Cabbage,10
1.029E+14,Zhijiang Qinggengsanhua,1011010201,Cabbage,10
1.029E+14,Lotus Root,1011010402,Aquatic Tuberous Vegetables,10
1.029E+14,Net Lotus Root ,1.01101E+13,Aquatic Tuberous Vegetables,14
1.029E+14,High Melon ,1011010402,Aquatic Tuberous Vegetables,10
1.029E+14,Lotus ,1011010402,Aquatic Tuberous Vegetables,10
1.029E+14,Water Chestnut ,1011010402,Aquatic Tuberous Vegetables,10
1.029E+14,Red Lotus Root Zone,1011010402,Aquatic Tuberous Vegetables,10
1.029E+14,Water Chestnut,1011010402,Aquatic Tuberous Vegetables,10
1.029E+14,Wild Lotus Root ,1011010402,Aquatic Tuberous Vegetables,10
1.029E+14,Wild Pink Lotus Root,1011010402,Aquatic Tuberous Vegetables,10
1.029E+14,Honghu Lotus Root Powder ,1011010402,Aquatic Tuberous Vegetables,10
1.029E+14,Net Lotus Root ,1011010402,Aquatic Tuberous Vegetables,10
1.029E+14,Fresh Lotus Root Zone ,1011010402,Aquatic Tuberous Vegetables,10
1.029E+14,Water Chestnut ,1011010402,Aquatic Tuberous Vegetables,10
1.029E+14,High Melon ,1011010402,Aquatic Tuberous Vegetables,10
1.029E+14,Honghu Lotus ,1011010402,Aquatic Tuberous Vegetables,10
1.029E+14,Net Lotus Root ,1011010402,Aquatic Tuberous Vegetables,10
1.029E+14,Wild Lotus Root ,1011010402,Aquatic Tuberous Vegetables,10
1.029E+14,Honghu Lotus Root,1011010402,Aquatic Tuberous Vegetables,10
1.029E+14,Lotus Root Tip,1011010402,Aquatic Tuberous Vegetables,10
1.029E+14,Eggplant ,1011010501,Solanum,10
1.029E+14,Green Eggplant ,1011010501,Solanum,10
1.029E+14,Round Eggplant,1011010501,Solanum,10
1.029E+14,Dalong Eggplant,1011010501,Solanum,10
1.029E+14,Hua Eggplant,1011010501,Solanum,10
1.029E+14,Changxianqie,1011010501,Solanum,10
1.029E+14,Green Eggplant ,1011010501,Solanum,10
1.029E+14,Eggplant ,1011010501,Solanum,10
1.029E+14,Round Eggplant ,1011010501,Solanum,10
1.029E+14,Round Eggplant ,1011010501,Solanum,10
1.029E+14,Red Hot Peppers,1011010504,Capsicum,10
1.029E+14,Green Hot Peppers,1011010504,Capsicum,10
1.029E+14,Red Pepper ,1011010504,Capsicum,10
1.029E+14,Green Hangjiao ,1011010504,Capsicum,10
1.029E+14,Red Hang Pepper,1011010504,Capsicum,10
1.029E+14,Paopaojiao ,1011010504,Capsicum,10
1.029E+14,7 Colour Pepper ,1011010504,Capsicum,10
1.029E+14,Green Hangzhou Pepper ,1011010504,Capsicum,10
1.029E+14,Bell Pepper ,1011010504,Capsicum,10
1.029E+14,Millet Pepper,1011010504,Capsicum,10
1.029E+14,Luosi Pepper,1011010504,Capsicum,10
1.029E+14,Red Line Pepper,1011010504,Capsicum,10
1.029E+14,The Red Bell Pepper ,1011010504,Capsicum,10
1.029E+14,Fruit Pepper ,1011010504,Capsicum,10
1.029E+14,Wuhu Green Pepper ,1011010504,Capsicum,10
1.029E+14,Pepper Mix,1011010504,Capsicum,10
1.029E+14,Wuhu Green Pepper ,1011010504,Capsicum,10
1.029E+14,Xiaozhoupi,1011010504,Capsicum,10
1.029E+14,Yuganjiao,1011010504,Capsicum,10
1.029E+14,Lameizi,1011010504,Capsicum,10
1.029E+14,Purple Hot Peppers,1011010504,Capsicum,10
1.029E+14,Purple Screw Pepper,1011010504,Capsicum,10
1.029E+14,Fruit Chili,1011010504,Capsicum,10
1.029E+14,Millet Pepper ,1011010504,Capsicum,10
1.029E+14,Green Hot Peppers ,1011010504,Capsicum,10
1.029E+14,7 Colour Pepper ,1011010504,Capsicum,10
1.029E+14,Bell Pepper ,1011010504,Capsicum,10
1.029E+14,Red Bell Pepper ,1011010504,Capsicum,10
1.029E+14,Xiaozhoupi ,1011010504,Capsicum,10
1.029E+14,Wuhu Green Pepper ,1011010504,Capsicum,10
1.029E+14,Green Hang Pepper ,1011010504,Capsicum,10
1.029E+14,Red Hang Pepper ,1011010504,Capsicum,10
1.029E+14,Fruit Pepper ,1011010504,Capsicum,10
1.029E+14,Green Line Pepper ,1011010504,Capsicum,10
1.029E+14,Red Hot Peppers ,1011010504,Capsicum,10
1.029E+14,Luosi Pepper ,1011010504,Capsicum,10
1.029E+14,7 Colour Pepper ,1011010504,Capsicum,10
1.029E+14,Bell Pepper ,1011010504,Capsicum,10
1.029E+14,Red Bell Pepper ,1011010504,Capsicum,10
1.029E+14,Ginger And Xiaomijiao Mix ,1011010504,Capsicum,10
1.029E+14,Red Pepper ,1011010504,Capsicum,10
1.029E+14,Green And Red Hang Pepper Mix ,1011010504,Capsicum,10
1.029E+14,Red Pepper ,1011010504,Capsicum,10
1.029E+14,Green And Red Jian Pepper Mix ,1011010504,Capsicum,10
1.029E+14,Green Line Pepper,1011010504,Capsicum,10
1.029E+14,Xixia Black Mushroom ,1011010801,Edible Mushroom,10
1.029E+14,Xixia Mushroom ,1011010801,Edible Mushroom,10
1.029E+14,Needle Mushroom ,1011010801,Edible Mushroom,10
1.029E+14,Ping Mushroom,1011010801,Edible Mushroom,10
1.029E+14,Jigu Mushroom ,1011010801,Edible Mushroom,10
1.029E+14,The White Mushroom ,1011010801,Edible Mushroom,10
1.029E+14,The Agaricus Bisporus,1011010801,Edible Mushroom,10
1.029E+14,The Crab Flavor Mushroom ,1011010801,Edible Mushroom,10
1.029E+14,Haixian Mushroom ,1011010801,Edible Mushroom,10
1.029E+14,Apricot Bao Mushroom ,1011010801,Edible Mushroom,10
1.029E+14,Jigu Mushroom ,1011010801,Edible Mushroom,10
1.029E+14,Needle Mushroom  ,1011010801,Edible Mushroom,10
1.029E+14,Tremella ,1011010801,Edible Mushroom,10
1.029E+14,Hericium ,1011010801,Edible Mushroom,10
1.029E+14,Fresh Black Fungus ,1011010801,Edible Mushroom,10
1.029E+14,Chicken Fir Bacteria,1011010801,Edible Mushroom,10
1.029E+14,Black Porcini,1011010801,Edible Mushroom,10
1.029E+14,Haixian Mushroom  ,1011010801,Edible Mushroom,10
1.029E+14,Xiuzhen Mushroom,1011010801,Edible Mushroom,10
1.029E+14,Chinese Caterpillar Fungus Flowers  ,1011010801,Edible Mushroom,10
1.029E+14,Tea Tree Mushroom ,1011010801,Edible Mushroom,10
1.029E+14,Black Chicken  Mushroom,1011010801,Edible Mushroom,10
1.029E+14,Apricot Bao Mushroom ,1011010801,Edible Mushroom,10
1.029E+14,The White Mushroom ,1011010801,Edible Mushroom,10
1.029E+14,Chinese Caterpillar Fungus Flowers ,1011010801,Edible Mushroom,10
1.029E+14,Chopped Red Pine,1011010801,Edible Mushroom,10
1.029E+14,The Steak Mushrooms,1011010801,Edible Mushroom,10
1.029E+14,White Jelly Mushroom,1011010801,Edible Mushroom,10
1.029E+14,Apricot Bao Mushroom ,1011010801,Edible Mushroom,10
1.029E+14,Chopped Red Pine ,1011010801,Edible Mushroom,10
1.029E+14,The Steak Mushrooms ,1011010801,Edible Mushroom,10
1.029E+14,The Pork Stomach Mushroom ,1011010801,Edible Mushroom,10
1.029E+14,Black Porcini ,1011010801,Edible Mushroom,10
1.029E+14,Black Chicken Fir Bacteria ,1011010801,Edible Mushroom,10
1.029E+14,Haixian Mushroom ,1011010801,Edible Mushroom,10
1.029E+14,Fresh Edible Fungus ,1011010801,Edible Mushroom,10
1.029E+14,Apricot Bao Mushroom ,1011010801,Edible Mushroom,10
1.029E+14,Agaricus Bisporus ,1011010801,Edible Mushroom,10
1.029E+14,Needle Mushroom ,1011010801,Edible Mushroom,10
1.029E+14,Chinese Caterpillar Fungus Flowers ,1011010801,Edible Mushroom,10
1.029E+14,Jigu ,1011010801,Edible Mushroom,10
1.029E+14,Xixia Xianggu Mushroom ,1011010801,Edible Mushroom,10
1.029E+14,Fresh Edible Fungus ,1011010801,Edible Mushroom,10
1.029E+14,Fresh Sea ,1011010801,Edible Mushroom,10
1.029E+14,Jigu ,1011010801,Edible Mushroom,10
1.029E+14,Needle Mushroom ,1011010801,Edible Mushroom,10
1.029E+14,Apricot Bao Mushroom ,1011010801,Edible Mushroom,10
1.029E+14,Xixia Black Mushroom ,1011010801,Edible Mushroom,10
1.029E+14,Agaricus Bisporus ,1011010801,Edible Mushroom,10
1.029E+14,Black Mushroom ,1011010801,Edible Mushroom,10
1.029E+14,The Fungus Mushroom Hot Pot Package ,1011010801,Edible Mushroom,10
1.029E+14,Crab Flavor Mushroom And White Mushroom Mix ,1011010801,Edible Mushroom,10
1.029E+14,Xixia Xianggu Mushroom ,1011010801,Edible Mushroom,10
1.029E+14,Mushroom And Leaf Mix ,1011010801,Edible Mushroom,10
1.029E+14,Velvet Antler Mushroom ,1011010801,Edible Mushroom,10
1.029E+14,Chinese Caterpillar Fungus Flowers,1011010801,Edible Mushroom,10
1.0693E+14,The Crab Flavor Mushroom ,1011010801,Edible Mushroom,10
1.0693E+14,Haixian Mushroom  ,1011010801,Edible Mushroom,10
1.06932E+14,Embroidered Aureus,1011010801,Edible Mushroom,10
1.06932E+14,Embroidered Aureus ,1011010801,Edible Mushroom,10
1.0695E+14,Needle Mushroom  ,1011010801,Edible Mushroom,10
1.0695E+14,Needle Mushroom  ,1011010801,Edible Mushroom,10
1.0695E+14,Needle Mushroom ,1011010801,Edible Mushroom,10
1.06956E+14,The White Mushroom ,1011010801,Edible Mushroom,10
1.06956E+14,The Crab Flavor Mushroom ,1011010801,Edible Mushroom,10
1.06958E+14,The White Mushroom ,1011010801,Edible Mushroom,10
1.06958E+14,The Crab Flavor Mushroom ,1011010801,Edible Mushroom,10
1.06959E+14,Haixian Mushroom  ,1011010801,Edible Mushroom,10
1.06972E+14,Haixian Mushroom ,1011010801,Edible Mushroom,10
1.06972E+14,Haixian Mushroom  ,1011010801,Edible Mushroom,10
1.06973E+14,Chinese Caterpillar Fungus Flowers  ,1011010801,Edible Mushroom,10
